Sublanço,Hora,Probabilidade incidência,n_incidencias_ano
Alcabideche (A5/A16) - Alvide,19,0.002739726,1
Cruz das Oliveiras - Monsanto,4,0.01369863,5
Carcavelos - Estoril,22,0.021917808,8
Carcavelos - Estoril,6,0.019178082,8
Alcabideche (A5/A16) - Alvide,20,0.002739726,1
Alvide - Cascais,2,0.005479452,2
Cruz das Oliveiras - Monsanto,6,0.010958904,7
Monsanto - Miraflores (A5/IC17),6,0.002739726,1
Monsanto - Miraflores (A5/IC17),5,0.005479452,2
Alvide - Cascais,4,0.005479452,2
Monsanto - Miraflores (A5/IC17),1,0.005479452,3
Alvide - Cascais,3,0.002739726,1
Miraflores (A5/IC17) - Linda-a-Velha,4,0.008219178,3
Alcabideche (A5/A16) - Alvide,21,0.002739726,1
Alcabideche (A5/A16) - Alvide,22,0.002739726,1
Estoril - Alcabideche (A5/A16),5,0.002739726,1
