Stop Start,Stop End,Lat Start,Long Start,Lat End,Long End,Distance (km),Duration (min)
Carvalhos,Feiteira,41.07289744,-8.580874642,41.04830372,-8.571150958,21,14
Carvalhos,Carvalhos,41.07289744,-8.580874642,41.07289744,-8.580874642,0,0
Carvalhos,Jaca,41.07289744,-8.580874642,41.08855679,-8.585936813,2,1
Carvalhos,Santo Ovídio,41.07289744,-8.580874642,41.08855679,-8.585936813,2,1
Jaca,Coimbra Norte (A1/A14),41.08855679,-8.585936813,40.26903044,-8.483327664,121,65
Jaca,Coimbra Sul,41.08855679,-8.585936813,40.18951372,-8.488160602,129,70
Jaca,Mealhada,41.08855679,-8.585936813,40.37286613,-8.493435181,120,67
Jaca,Albergaria (A1/IP5),41.08855679,-8.585936813,40.70489581,-8.522044976,62,38
Jaca,Portagem,41.08855679,-8.585936813,40.68924722,-8.523961111,57,35
Jaca,Estarreja,41.08855679,-8.585936813,40.78236382,-8.544700822,71,43
Jaca,Aveiro Sul,41.08855679,-8.585936813,40.56379544,-8.561086614,119,66
Jaca,Feira,41.08855679,-8.585936813,40.93107064,-8.569931162,62,35
Jaca,Espinho (IC24),41.08855679,-8.585936813,41.00603673,-8.582256038,37,23
Jaca,Feiteira,41.08855679,-8.585936813,41.04830372,-8.571150958,22,15
Jaca,Carvalhos,41.08855679,-8.585936813,41.07289744,-8.580874642,16,12
Jaca,Jaca,41.08855679,-8.585936813,41.08855679,-8.585936813,0,0
Jaca,Santo Ovídio,41.08855679,-8.585936813,41.08855679,-8.585936813,0,0
Santo Ovídio,Coimbra Norte (A1/A14),41.08855679,-8.585936813,40.26903044,-8.483327664,121,65
Santo Ovídio,Coimbra Sul,41.08855679,-8.585936813,40.18951372,-8.488160602,129,70
Santo Ovídio,Mealhada,41.08855679,-8.585936813,40.37286613,-8.493435181,120,67
Santo Ovídio,Albergaria (A1/IP5),41.08855679,-8.585936813,40.70489581,-8.522044976,62,38
Santo Ovídio,Portagem,41.08855679,-8.585936813,40.68924722,-8.523961111,57,35
Santo Ovídio,Estarreja,41.08855679,-8.585936813,40.78236382,-8.544700822,71,43
Santo Ovídio,Aveiro Sul,41.08855679,-8.585936813,40.56379544,-8.561086614,119,66
Santo Ovídio,Feira,41.08855679,-8.585936813,40.93107064,-8.569931162,62,35
Santo Ovídio,Espinho (IC24),41.08855679,-8.585936813,41.00603673,-8.582256038,37,23
Santo Ovídio,Feiteira,41.08855679,-8.585936813,41.04830372,-8.571150958,22,15
Santo Ovídio,Carvalhos,41.08855679,-8.585936813,41.07289744,-8.580874642,16,12
Santo Ovídio,Jaca,41.08855679,-8.585936813,41.08855679,-8.585936813,0,0
Santo Ovídio,Santo Ovídio,41.08855679,-8.585936813,41.08855679,-8.585936813,0,0
