Stop Start,Stop End,Lat Start,Long Start,Lat End,Long End
Nó do Estoril,Nó de Carcavelos,38.71805517,-9.39196317,38.70798737,-9.339136704
Nó do Estoril,Nó do Estoril,38.71805517,-9.39196317,38.71805517,-9.39196317
Nó do Estoril,Nó de Alcabideche,38.71805517,-9.39196317,38.72736771,-9.420983178
Nó do Estoril,Nó de Alvide,38.71805517,-9.39196317,38.72736771,-9.420983178
Nó do Estoril,Nó de Cascais,38.71805517,-9.39196317,38.72179904,-9.442793126
Nó do Estoril,Nó do Estádio Nacional 3,38.71805517,-9.39196317,38.70939121,-9.263853108
Nó do Estoril,Nó do Estádio Nacional (A5/A9),38.71805517,-9.39196317,38.71747539,-9.269467602
Nó do Estoril,Nó de Queluz,38.71805517,-9.39196317,38.74240685,-9.275880729
Nó do Estoril,Nó A9/A16,38.71805517,-9.39196317,38.76849891,-9.268702771
Nó do Estoril,Nó Radial da Pontinha,38.71805517,-9.39196317,38.7845551,-9.242929469
Nó do Estoril,Nó Radial de Odivelas,38.71805517,-9.39196317,38.82468012,-9.192526726
Nó do Estoril,Nó A9/A8,38.71805517,-9.39196317,38.85316867,-9.171412221
Nó do Estoril,Nó de Bucelas (Zambujal),38.71805517,-9.39196317,38.86746531,-9.143068282
Nó do Estoril,Nó A9/A10,38.71805517,-9.39196317,38.90771835,-9.077247376
Nó do Estoril,Nó de Alverca,38.71805517,-9.39196317,38.89293583,-9.048121375
Nó de Alcabideche,Nó Viaduto Duarte Pacheco,38.72736771,-9.420983178,38.72361405,-9.177117052
Nó de Alcabideche,Nó Cruz das Oliveiras,38.72736771,-9.420983178,38.70798737,-9.339136704
Nó de Alcabideche,Nó de Monsanto,38.72736771,-9.420983178,38.71960798,-9.209900182
Nó de Alcabideche,Nó de Miraflores (A5/IC17),38.72736771,-9.420983178,38.7168212,-9.220638205
Nó de Alcabideche,Nó de Linda-a-Velha,38.72736771,-9.420983178,38.72091034,-9.242324413
Nó de Alcabideche,Nó Estádio Nacional,38.72736771,-9.420983178,38.71368991,-9.261576695
Nó de Alcabideche,Nó de Oeiras,38.72736771,-9.420983178,38.71245993,-9.306240464
Nó de Alcabideche,Nó de Carcavelos,38.72736771,-9.420983178,38.70798737,-9.339136704
Nó de Alcabideche,Nó do Estoril,38.72736771,-9.420983178,38.71805517,-9.39196317
Nó de Alcabideche,Nó de Alcabideche,38.72736771,-9.420983178,38.72736771,-9.420983178
Nó de Alcabideche,Nó de Alvide,38.72736771,-9.420983178,38.72736771,-9.420983178
Nó de Alcabideche,Nó de Cascais,38.72736771,-9.420983178,38.72179904,-9.442793126
Nó de Alcabideche,Nó do Estádio Nacional 3,38.72736771,-9.420983178,38.70939121,-9.263853108
Nó de Alcabideche,Nó do Estádio Nacional (A5/A9),38.72736771,-9.420983178,38.71747539,-9.269467602
Nó de Alcabideche,Nó de Queluz,38.72736771,-9.420983178,38.74240685,-9.275880729
Nó de Alcabideche,Nó A9/A16,38.72736771,-9.420983178,38.76849891,-9.268702771
Nó de Alcabideche,Nó Radial da Pontinha,38.72736771,-9.420983178,38.7845551,-9.242929469
Nó de Alcabideche,Nó Radial de Odivelas,38.72736771,-9.420983178,38.82468012,-9.192526726
Nó de Alcabideche,Nó A9/A8,38.72736771,-9.420983178,38.85316867,-9.171412221
Nó de Alcabideche,Nó de Bucelas (Zambujal),38.72736771,-9.420983178,38.86746531,-9.143068282
Nó de Alcabideche,Nó A9/A10,38.72736771,-9.420983178,38.90771835,-9.077247376
Nó de Alcabideche,Nó de Alverca,38.72736771,-9.420983178,38.89293583,-9.048121375
Nó de Alvide,Nó Viaduto Duarte Pacheco,38.72736771,-9.420983178,38.72361405,-9.177117052
Nó de Alvide,Nó Cruz das Oliveiras,38.72736771,-9.420983178,38.70798737,-9.339136704
Nó de Alvide,Nó de Monsanto,38.72736771,-9.420983178,38.71960798,-9.209900182
Nó de Alvide,Nó de Miraflores (A5/IC17),38.72736771,-9.420983178,38.7168212,-9.220638205
Nó de Alvide,Nó de Linda-a-Velha,38.72736771,-9.420983178,38.72091034,-9.242324413
Nó de Alvide,Nó Estádio Nacional,38.72736771,-9.420983178,38.71368991,-9.261576695
Nó de Alvide,Nó de Oeiras,38.72736771,-9.420983178,38.71245993,-9.306240464
Nó de Alvide,Nó de Carcavelos,38.72736771,-9.420983178,38.70798737,-9.339136704
Nó de Alvide,Nó do Estoril,38.72736771,-9.420983178,38.71805517,-9.39196317
Nó de Alvide,Nó de Alcabideche,38.72736771,-9.420983178,38.72736771,-9.420983178
Nó de Alvide,Nó de Alvide,38.72736771,-9.420983178,38.72736771,-9.420983178
Nó de Alvide,Nó de Cascais,38.72736771,-9.420983178,38.72179904,-9.442793126
Nó de Alvide,Nó do Estádio Nacional 3,38.72736771,-9.420983178,38.70939121,-9.263853108
Nó de Alvide,Nó do Estádio Nacional (A5/A9),38.72736771,-9.420983178,38.71747539,-9.269467602
Nó de Alvide,Nó de Queluz,38.72736771,-9.420983178,38.74240685,-9.275880729
Nó de Alvide,Nó A9/A16,38.72736771,-9.420983178,38.76849891,-9.268702771
Nó de Alvide,Nó Radial da Pontinha,38.72736771,-9.420983178,38.7845551,-9.242929469
Nó de Alvide,Nó Radial de Odivelas,38.72736771,-9.420983178,38.82468012,-9.192526726
Nó de Alvide,Nó A9/A8,38.72736771,-9.420983178,38.85316867,-9.171412221
Nó de Alvide,Nó de Bucelas (Zambujal),38.72736771,-9.420983178,38.86746531,-9.143068282
Nó de Alvide,Nó A9/A10,38.72736771,-9.420983178,38.90771835,-9.077247376
Nó de Alvide,Nó de Alverca,38.72736771,-9.420983178,38.89293583,-9.048121375
Nó de Cascais,Nó Viaduto Duarte Pacheco,38.72179904,-9.442793126,38.72361405,-9.177117052
Nó de Cascais,Nó Cruz das Oliveiras,38.72179904,-9.442793126,38.70798737,-9.339136704
