,No.Voltas,Turno,Carro,C.O.,Tempo_Resolucao_Incid,Tempo_Desloc_Incid,Tempo_Nos,Tempo_Patrulha,Temp_CO_Rota:,Tempo_Total,Tempo_Abertura,Nós,Extensoes_consideradas,Sentido,Auto Estradas
42,2,1,18,Cartaxo,1.9432745727575342,0.16410958905,2.5,1.8467500000000003,0.0,6.454134161807534,6.75,"[10.0, 20, 20, 20, 30, 50.0]","[1.185, 8.08, 11.286, 15.516, 0.868]",Sequência AE_1,A1
43,2,1,19,Carregado,0.4804049180648402,0.15771689453333332,2.1666666666666665,2.515,0.03333333333333333,5.353121812598173,6.75,"[50.0, 20, 40, 20.0]","[11.0, 6.9, 32.4]",Sequência AE_1,A1 + A10
44,2,1,20,Carregado,0.32064800473424654,0.0,1.0,2.775,1.3666666666666667,5.462314671400914,6.75,"[20.0, 20, 20.0]","[51.525, 3.975]",Sequência AE_1,A10 + A1
45,2,1,21,Carregado,1.591392323512329,0.1284931504,0.8333333333333334,0.5429999999999999,2.7666666666666666,5.862885473912329,6.75,"[20.0, 20, 10.0]","[3.4, 7.46]",Sequência AE_1,A1
46,2,1,22,Carregado,0.955381388247032,0.03095890415,1.1666666666666667,0.652,3.066666666666667,5.871673625730366,6.75,"[10.0, 20, 20, 20]","[6.24, 2.95, 3.85]",Sequência AE_1,A1
47,2,2,23,Feira,0.9325986051776255,0.07831050203333335,2.5,2.4467,0.0,5.957609107210959,6.75,"[20, 20, 20, 20, 20, 20, 20, 10.0]","[1.839, 2.745, 3.37, 3.92, 9.8, 16.832, 10.428]",Sequência AE_1,A1
48,2,2,24,Mealhada,0.35046664875616435,0.14095890389999996,1.0,2.506,0.0,3.9974255526561637,6.75,"[10.0, 20, 20, 10.0]","[14.78, 23.633, 11.707]",Sequência AE_1,A1
49,2,2,25,Leiria,0.08086350437853881,0.0031050228,2.75,2.0500000000000003,0.0,4.8839685271785385,6.75,"[10.0, 20, 20, 20, 20, 20, 20, 20, 15.0]","[1.1, 5.5, 9.6, 8.0, 4.8, 7.2, 1.6, 3.2]",Sequência AE_1,A1 + A14
50,2,2,26,Leiria,0.3851502580164384,0.046575342,1.5833333333333333,4.23825,0.0,6.253308933349771,6.75,"[15.0, 20, 30, 20, 10.0]","[49.303, 7.681, 13.045, 14.736]",Sequência AE_1,A14 + A1
51,2,2,27,Leiria,0.5747326164054795,0.20547945206666665,1.5,4.331999999999999,0.0,6.612212068472146,6.75,"[10.0, 30, 20, 20, 10.0]","[24.065, 15.235, 20.325, 27.015]",Sequência AE_1,A1
52,2,2,28,Cartaxo,0.5010524381479452,0.04260273945,3.5,2.39675,0.0,6.4404051775979445,6.75,"[10.0, 20, 20, 20, 30, 100, 10.0]","[1.185, 8.08, 11.286, 15.516, 0.868, 11.0]",Sequência AE_1,A1 + A10
53,2,2,29,Carregado,0.0631458483780822,0.025114154999999992,1.1666666666666667,1.965,0.3333333333333333,3.5532600033780826,6.75,"[10.0, 40, 20.0]","[6.9, 32.4]",Sequência AE_1,A10
54,2,2,30,Carregado,0.2961662551004566,0.029315068249999996,1.5,2.945,1.3666666666666667,6.137147990017123,6.75,"[20.0, 20, 40, 10.0]","[51.525, 3.975, 3.4]",Sequência AE_1,A10 + A1
55,2,2,31,Carregado,0.3881169796488584,0.03949771676666667,1.5,1.025,2.8666666666666667,5.819281363082192,6.75,"[10.0, 20, 20, 20, 20]","[7.46, 6.24, 2.95, 3.85]",Sequência AE_1,A1
56,3,0,0,Feira,2.308691702757534,0.09205479450000002,1.8333333333333333,1.62555,0.0,5.859629830590867,6.75,"[20, 20, 20, 20, 20, 10.0]","[1.839, 2.745, 3.37, 3.92, 9.8]",Sequência AE_1,A1
57,3,0,1,Feira,1.9365004520849316,0.47872146126666665,1.0,3.153,0.0,6.568221913351598,6.75,"[10.0, 20, 20, 10.0]","[16.832, 10.428, 14.78]",Sequência AE_1,A1
58,3,0,2,Mealhada,0.7529743150684932,0.10356164355,0.6666666666666666,2.6505000000000005,0.0,4.17370262528516,6.75,"[10.0, 20, 10.0]","[23.633, 11.707]",Sequência AE_1,A1
59,3,0,3,Leiria,0.4413124306283105,0.019543378999999996,2.75,3.075,0.0,6.285855809628311,6.75,"[10.0, 20, 20, 20, 20, 20, 20, 20, 15.0]","[1.1, 5.5, 9.6, 8.0, 4.8, 7.2, 1.6, 3.2]",Sequência AE_1,A1 + A14
60,3,0,4,Leiria,0.5836341051178082,0.07232876709999998,0.8333333333333334,4.2738,0.0,5.763096205551141,6.75,"[15.0, 20, 15.0]","[49.303, 7.681]",Sequência AE_1,A14 + A1
61,3,0,5,Leiria,1.0527438354972602,0.2821917808,0.75,2.0835749999999993,0.0,4.16851061629726,6.75,"[15.0, 20, 10.0]","[13.045, 14.736]",Sequência AE_1,A1
62,3,0,6,Leiria,1.3310792688278539,0.3068493152,0.8333333333333334,2.9475,0.0,5.418761917361187,6.75,"[10.0, 30, 10.0]","[24.065, 15.235]",Sequência AE_1,A1
63,3,0,7,Cartaxo,1.087425952249315,0.067123287,0.6666666666666666,3.5504999999999995,0.0,5.3717159059159805,6.75,"[10.0, 20, 10.0]","[20.325, 27.015]",Sequência AE_1,A1
64,3,0,8,Cartaxo,1.6662070235703197,0.31296803661666667,1.4166666666666667,2.7050249999999996,0.0,6.100866726853653,6.75,"[10.0, 20, 20, 20, 15.0]","[1.185, 8.08, 11.286, 15.516]",Sequência AE_1,A1
65,3,0,9,Carregado,0.5080792957479452,0.10986301309999999,2.5833333333333335,1.4076,0.0,4.608875642181278,6.75,"[15.0, 100, 20, 20.0]","[0.868, 11.0, 6.9]",Sequência AE_1,A1 + A10
66,3,0,10,Carregado,0.16408889538904112,0.0,0.6666666666666666,2.4299999999999997,0.5333333333333333,3.7940888953890406,6.75,"[20.0, 20.0]",[32.4],Sequência AE_1,A10
67,3,0,11,Carregado,0.3319207861506848,0.0,0.5,3.8643750000000003,1.3666666666666667,6.062962452817351,6.75,"[20.0, 10.0]",[51.525],Sequência AE_1,A10 + A1
68,3,0,12,Carregado,0.8841323062904111,0.08356164395,1.0,0.553125,2.6666666666666665,5.187485616907078,6.75,"[10.0, 40, 10.0]","[3.975, 3.4]",Sequência AE_1,A1
69,3,0,13,Carregado,0.9510514035584475,0.05000000008333334,0.6666666666666666,1.0274999999999999,2.8666666666666667,5.561884736975115,6.75,"[10.0, 20, 10.0]","[7.46, 6.24]",Sequência AE_1,A1
70,3,0,14,Carregado,0.6242191779945204,0.0,0.8333333333333334,0.5100000000000001,3.2333333333333334,5.200885844661188,6.75,"[10.0, 20, 20]","[2.95, 3.85]",Sequência AE_1,A1
71,3,1,15,Feira,2.4513893972041094,0.09643835619999999,1.8333333333333333,1.62555,0.0,6.006711086737442,6.75,"[20, 20, 20, 20, 20, 10.0]","[1.839, 2.745, 3.37, 3.92, 9.8]",Sequência AE_1,A1
72,3,1,16,Feira,1.8681049067945206,0.46666666666666673,1.0,3.153,0.0,6.487771573461187,6.75,"[10.0, 20, 20, 10.0]","[16.832, 10.428, 14.78]",Sequência AE_1,A1
73,3,1,17,Mealhada,0.6787808219178082,0.08753424630000001,0.6666666666666666,2.6505000000000005,0.0,4.083481734884475,6.75,"[10.0, 20, 10.0]","[23.633, 11.707]",Sequência AE_1,A1
74,3,1,18,Leiria,0.4577966677269406,0.02538812773333333,2.75,3.075,0.0,6.308184795460274,6.75,"[10.0, 20, 20, 20, 20, 20, 20, 20, 15.0]","[1.1, 5.5, 9.6, 8.0, 4.8, 7.2, 1.6, 3.2]",Sequência AE_1,A1 + A14
75,3,1,19,Leiria,0.6095468905780821,0.0706849315,0.8333333333333334,4.2738,0.0,5.787365155411416,6.75,"[15.0, 20, 15.0]","[49.303, 7.681]",Sequência AE_1,A14 + A1
76,3,1,20,Leiria,1.2419660069159817,0.3112328768,0.75,2.0835749999999993,0.0,4.386773883715981,6.75,"[15.0, 20, 10.0]","[13.045, 14.736]",Sequência AE_1,A1
77,3,1,21,Leiria,1.3338126788237445,0.3106849314,0.8333333333333334,2.9475,0.0,5.425330943557078,6.75,"[10.0, 30, 10.0]","[24.065, 15.235]",Sequência AE_1,A1
78,3,1,22,Cartaxo,1.1411686608917806,0.06616438290000001,0.6666666666666666,3.5504999999999995,0.0,5.424499710458447,6.75,"[10.0, 20, 10.0]","[20.325, 27.015]",Sequência AE_1,A1
79,3,1,23,Cartaxo,1.7363243203922376,0.3306392692833333,1.4166666666666667,2.7050249999999996,0.0,6.188655256342238,6.75,"[10.0, 20, 20, 20, 15.0]","[1.185, 8.08, 11.286, 15.516]",Sequência AE_1,A1
80,3,1,24,Carregado,0.5331362837863013,0.10835616379999999,2.5833333333333335,1.4076,0.0,4.632425780919635,6.75,"[15.0, 100, 20, 20.0]","[0.868, 11.0, 6.9]",Sequência AE_1,A1 + A10
81,3,1,25,Carregado,0.15421888664383562,0.0,0.6666666666666666,2.4299999999999997,0.5333333333333333,3.7842188866438353,6.75,"[20.0, 20.0]",[32.4],Sequência AE_1,A10
